Enterobacter cloacae	no_results	0
Escherichia coli	TEM-150	1
Escherichia coli	tetM	4
Haemophilus influenzae	hmrM	11
Klebsiella oxytoca	TEM-150	1
Klebsiella pneumoniae	TEM-150	1
Klebsiella pneumoniae	tetM	4
Moraxella catarrhalis	no_results	0
Pseudomonas aeruginosa	no_results	0
Serratia marcescens	TEM-150	1
Staphylococcus aureus	tetM	4
Streptococcus pneumoniae	patB	1
Streptococcus pneumoniae	mel	7
Streptococcus pneumoniae	pmrA	2
Streptococcus pneumoniae	RlmA(II)	3
Streptococcus pneumoniae	tetM	4
Streptococcus pyogenes	mel	7
Streptococcus pyogenes	tetM	4
