Results for species:	Enterobacter cloacae
=======================
No results

Results for species:	Escherichia coli
=======================
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
C-5343A8C77E.fastq	ERR3077585.19088	632	1485	-	TEM-150	3-861/861	========/======	24/35	97.44	92.56	card	AM183304:208-1069	TEM-150 is a beta-lactamase found in Enterobacter spp. E. coli and Klebsiella pneumoniae.	cephalosporin;monobactam;penam;penem
C-5343A8C77E.fastq	ERR3077585.25347	215	2149	-	tetM	1-1920/1920	========/======	72/113	97.45	86.14	card	AM990992.1:1003680-1001760	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	tetracycline
C-5343A8C77E.fastq	ERR3077585.27783	1196	3074	+	tetM	1-1917/1920	========/======	61/104	96.15	90.00	card	AM990992.1:1003680-1001760	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	tetracycline
C-5343A8C77E.fastq	ERR3077585.4403	1248	3100	+	tetM	1-1891/1920	========/======	54/86	95.26	91.49	card	AM990992.1:1003680-1001760	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	tetracycline
C-5343A8C77E.fastq	ERR3077585.7521	87	1919	+	tetM	41-1909/1920	========/======	63/100	93.80	89.95	card	AM990992.1:1003680-1001760	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	tetracycline
Results for species:	Haemophilus influenzae
=======================
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
C-5343A8C77E.fastq	ERR3077585.14520	1326	2724	+	hmrM	1-1394/1395	========/======	61/95	96.70	84.69	card	CP002276.1:1146068-1144673	hmrM is a multidrug efflux pump belonging to the MATE family and functions as a  Na+/drug antiporter.	acridine_dye;fluoroquinolone
C-5343A8C77E.fastq	ERR3077585.14762	578	1896	+	hmrM	1-1395/1395	========/======	63/114	93.19	80.91	card	CP002276.1:1146068-1144673	hmrM is a multidrug efflux pump belonging to the MATE family and functions as a  Na+/drug antiporter.	acridine_dye;fluoroquinolone
C-5343A8C77E.fastq	ERR3077585.17037	1489	2871	-	hmrM	1-1395/1395	========/======	47/64	97.28	88.67	card	CP002276.1:1146068-1144673	hmrM is a multidrug efflux pump belonging to the MATE family and functions as a  Na+/drug antiporter.	acridine_dye;fluoroquinolone
C-5343A8C77E.fastq	ERR3077585.1967	270	1639	-	hmrM	4-1395/1395	========/======	47/78	96.20	87.25	card	CP002276.1:1146068-1144673	hmrM is a multidrug efflux pump belonging to the MATE family and functions as a  Na+/drug antiporter.	acridine_dye;fluoroquinolone
C-5343A8C77E.fastq	ERR3077585.20063	265	1623	-	hmrM	1-1395/1395	========/======	47/72	96.13	87.47	card	CP002276.1:1146068-1144673	hmrM is a multidrug efflux pump belonging to the MATE family and functions as a  Na+/drug antiporter.	acridine_dye;fluoroquinolone
C-5343A8C77E.fastq	ERR3077585.20258	1542	2903	-	hmrM	1-1394/1395	========/======	36/52	96.92	89.39	card	CP002276.1:1146068-1144673	hmrM is a multidrug efflux pump belonging to the MATE family and functions as a  Na+/drug antiporter.	acridine_dye;fluoroquinolone
C-5343A8C77E.fastq	ERR3077585.20492	930	2321	+	hmrM	1-1395/1395	========/======	40/63	97.63	87.58	card	CP002276.1:1146068-1144673	hmrM is a multidrug efflux pump belonging to the MATE family and functions as a  Na+/drug antiporter.	acridine_dye;fluoroquinolone
C-5343A8C77E.fastq	ERR3077585.23927	1504	2862	-	hmrM	1-1395/1395	========/======	50/76	95.99	86.71	card	CP002276.1:1146068-1144673	hmrM is a multidrug efflux pump belonging to the MATE family and functions as a  Na+/drug antiporter.	acridine_dye;fluoroquinolone
C-5343A8C77E.fastq	ERR3077585.3108	333	1682	-	hmrM	4-1395/1395	========/======	51/92	94.98	84.61	card	CP002276.1:1146068-1144673	hmrM is a multidrug efflux pump belonging to the MATE family and functions as a  Na+/drug antiporter.	acridine_dye;fluoroquinolone
C-5343A8C77E.fastq	ERR3077585.4578	1768	3144	+	hmrM	1-1395/1395	========/======	38/58	97.28	88.76	card	CP002276.1:1146068-1144673	hmrM is a multidrug efflux pump belonging to the MATE family and functions as a  Na+/drug antiporter.	acridine_dye;fluoroquinolone
C-5343A8C77E.fastq	ERR3077585.8522	1348	2707	-	hmrM	1-1395/1395	========/======	49/97	95.27	83.66	card	CP002276.1:1146068-1144673	hmrM is a multidrug efflux pump belonging to the MATE family and functions as a  Na+/drug antiporter.	acridine_dye;fluoroquinolone
Results for species:	Klebsiella oxytoca
=======================
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
C-5343A8C77E.fastq	ERR3077585.19088	632	1485	-	TEM-150	3-861/861	========/======	24/35	97.44	92.56	card	AM183304:208-1069	TEM-150 is a beta-lactamase found in Enterobacter spp. E. coli and Klebsiella pneumoniae.	cephalosporin;monobactam;penam;penem
Results for species:	Klebsiella pneumoniae
=======================
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
C-5343A8C77E.fastq	ERR3077585.19088	632	1485	-	TEM-150	3-861/861	========/======	24/35	97.44	92.56	card	AM183304:208-1069	TEM-150 is a beta-lactamase found in Enterobacter spp. E. coli and Klebsiella pneumoniae.	cephalosporin;monobactam;penam;penem
C-5343A8C77E.fastq	ERR3077585.25347	215	2149	-	tetM	1-1920/1920	========/======	72/113	97.45	86.14	card	AM990992.1:1003680-1001760	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	tetracycline
C-5343A8C77E.fastq	ERR3077585.27783	1196	3074	+	tetM	1-1917/1920	========/======	61/104	96.15	90.00	card	AM990992.1:1003680-1001760	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	tetracycline
C-5343A8C77E.fastq	ERR3077585.4403	1248	3100	+	tetM	1-1891/1920	========/======	54/86	95.26	91.49	card	AM990992.1:1003680-1001760	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	tetracycline
C-5343A8C77E.fastq	ERR3077585.7521	87	1919	+	tetM	41-1909/1920	========/======	63/100	93.80	89.95	card	AM990992.1:1003680-1001760	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	tetracycline
Results for species:	Moraxella catarrhalis
=======================
No results

Results for species:	Pseudomonas aeruginosa
=======================
No results

Results for species:	Serratia marcescens
=======================
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
C-5343A8C77E.fastq	ERR3077585.19088	632	1485	-	TEM-150	3-861/861	========/======	24/35	97.44	92.56	card	AM183304:208-1069	TEM-150 is a beta-lactamase found in Enterobacter spp. E. coli and Klebsiella pneumoniae.	cephalosporin;monobactam;penam;penem
Results for species:	Staphylococcus aureus
=======================
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
C-5343A8C77E.fastq	ERR3077585.25347	215	2149	-	tetM	1-1920/1920	========/======	72/113	97.45	86.14	card	AM990992.1:1003680-1001760	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	tetracycline
C-5343A8C77E.fastq	ERR3077585.27783	1196	3074	+	tetM	1-1917/1920	========/======	61/104	96.15	90.00	card	AM990992.1:1003680-1001760	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	tetracycline
C-5343A8C77E.fastq	ERR3077585.4403	1248	3100	+	tetM	1-1891/1920	========/======	54/86	95.26	91.49	card	AM990992.1:1003680-1001760	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	tetracycline
C-5343A8C77E.fastq	ERR3077585.7521	87	1919	+	tetM	41-1909/1920	========/======	63/100	93.80	89.95	card	AM990992.1:1003680-1001760	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	tetracycline
Results for species:	Streptococcus pneumoniae
=======================
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
C-5343A8C77E.fastq	ERR3077585.10256	1287	3039	+	patB	1-1767/1767	========/======	61/92	97.00	85.66	card	AE005672.3:1982324-1980557	PatB is an ABC transporter of Streptococcus pneumoniae that interacts with PatA to confer fluoroquinolone resistance..	fluoroquinolone
